instant,dteday,holiday,weathersit,temp,atemp,hum,windspeed,count,day_of_the_week,month,season
1,2011-01-01,0,1,0.24,0.2879,0.81,0.0,16,Saturday,January,Winter
2,2011-01-01,0,1,0.22,0.2727,0.8,0.0,40,Saturday,January,Winter
3,2011-01-01,0,1,0.22,0.2727,0.8,0.0,32,Saturday,January,Winter
4,2011-01-01,0,1,0.24,0.2879,0.75,0.0,13,Saturday,January,Winter
5,2011-01-01,0,1,0.24,0.2879,0.75,0.0,1,Saturday,January,Winter
6,2011-01-01,0,2,0.24,0.2576,0.75,0.0896,1,Saturday,January,Winter
7,2011-01-01,0,1,0.22,0.2727,0.8,0.0,2,Saturday,January,Winter
8,2011-01-01,0,1,0.2,0.2576,0.86,0.0,3,Saturday,January,Winter
9,2011-01-01,0,1,0.24,0.2879,0.75,0.0,8,Saturday,January,Winter
10,2011-01-01,0,1,0.32,0.3485,0.76,0.0,14,Saturday,January,Winter
11,2011-01-01,0,1,0.38,0.3939,0.76,0.2537,36,Saturday,January,Winter
12,2011-01-01,0,1,0.36,0.3333,0.81,0.2836,56,Saturday,January,Winter
13,2011-01-01,0,1,0.42,0.4242,0.77,0.2836,84,Saturday,January,Winter
14,2011-01-01,0,2,0.46,0.4545,0.72,0.2985,94,Saturday,January,Winter
15,2011-01-01,0,2,0.46,0.4545,0.72,0.2836,106,Saturday,January,Winter
16,2011-01-01,0,2,0.44,0.4394,0.77,0.2985,110,Saturday,January,Winter
17,2011-01-01,0,2,0.42,0.4242,0.82,0.2985,93,Saturday,January,Winter
18,2011-01-01,0,2,0.44,0.4394,0.82,0.2836,67,Saturday,January,Winter
19,2011-01-01,0,3,0.42,0.4242,0.88,0.2537,35,Saturday,January,Winter
20,2011-01-01,0,3,0.42,0.4242,0.88,0.2537,37,Saturday,January,Winter
21,2011-01-01,0,2,0.4,0.4091,0.87,0.2537,36,Saturday,January,Winter
22,2011-01-01,0,2,0.4,0.4091,0.87,0.194,34,Saturday,January,Winter
23,2011-01-01,0,2,0.4,0.4091,0.94,0.2239,28,Saturday,January,Winter
24,2011-01-01,0,2,0.46,0.4545,0.88,0.2985,39,Saturday,January,Winter
25,2011-01-02,0,2,0.46,0.4545,0.88,0.2985,17,Sunday,January,Winter
26,2011-01-02,0,2,0.44,0.4394,0.94,0.2537,17,Sunday,January,Winter
27,2011-01-02,0,2,0.42,0.4242,1.0,0.2836,9,Sunday,January,Winter
28,2011-01-02,0,2,0.46,0.4545,0.94,0.194,6,Sunday,January,Winter
29,2011-01-02,0,2,0.46,0.4545,0.94,0.194,3,Sunday,January,Winter
30,2011-01-02,0,3,0.42,0.4242,0.77,0.2985,2,Sunday,January,Winter
31,2011-01-02,0,2,0.4,0.4091,0.76,0.194,1,Sunday,January,Winter
32,2011-01-02,0,3,0.4,0.4091,0.71,0.2239,8,Sunday,January,Winter
33,2011-01-02,0,2,0.38,0.3939,0.76,0.2239,20,Sunday,January,Winter
34,2011-01-02,0,2,0.36,0.3485,0.81,0.2239,53,Sunday,January,Winter
35,2011-01-02,0,2,0.36,0.3333,0.71,0.2537,70,Sunday,January,Winter
36,2011-01-02,0,2,0.36,0.3333,0.66,0.2985,93,Sunday,January,Winter
37,2011-01-02,0,2,0.36,0.3485,0.66,0.1343,75,Sunday,January,Winter
38,2011-01-02,0,3,0.36,0.3485,0.76,0.194,59,Sunday,January,Winter
39,2011-01-02,0,3,0.34,0.3333,0.81,0.1642,74,Sunday,January,Winter
40,2011-01-02,0,3,0.34,0.3333,0.71,0.1642,76,Sunday,January,Winter
41,2011-01-02,0,1,0.34,0.3333,0.57,0.194,65,Sunday,January,Winter
42,2011-01-02,0,2,0.36,0.3333,0.46,0.3284,53,Sunday,January,Winter
43,2011-01-02,0,1,0.32,0.2879,0.42,0.4478,30,Sunday,January,Winter
44,2011-01-02,0,1,0.3,0.2727,0.39,0.3582,22,Sunday,January,Winter
45,2011-01-02,0,1,0.26,0.2273,0.44,0.3284,31,Sunday,January,Winter
46,2011-01-02,0,1,0.24,0.2121,0.44,0.2985,9,Sunday,January,Winter
47,2011-01-02,0,1,0.22,0.2273,0.47,0.1642,8,Sunday,January,Winter
48,2011-01-03,0,1,0.22,0.197,0.44,0.3582,5,Monday,January,Winter
49,2011-01-03,0,1,0.2,0.1667,0.44,0.4179,2,Monday,January,Winter
50,2011-01-03,0,1,0.16,0.1364,0.47,0.3881,1,Monday,January,Winter
51,2011-01-03,0,1,0.16,0.1364,0.47,0.2836,3,Monday,January,Winter
52,2011-01-03,0,1,0.14,0.1061,0.5,0.3881,30,Monday,January,Winter
53,2011-01-03,0,1,0.14,0.1364,0.5,0.194,64,Monday,January,Winter
54,2011-01-03,0,1,0.14,0.1212,0.5,0.2836,154,Monday,January,Winter
55,2011-01-03,0,1,0.16,0.1364,0.43,0.3881,88,Monday,January,Winter
56,2011-01-03,0,1,0.18,0.1667,0.43,0.2537,44,Monday,January,Winter
57,2011-01-03,0,1,0.2,0.1818,0.4,0.3284,51,Monday,January,Winter
